movieId,tag,ratings,title,genres
1,fun,3.9209302325581397,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,pixar,3.9209302325581397,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,pixar,3.9209302325581397,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,game,3.4318181818181817,Jumanji (1995),Adventure|Children|Fantasy
2,Robin Williams,3.4318181818181817,Jumanji (1995),Adventure|Children|Fantasy
2,magic board game,3.4318181818181817,Jumanji (1995),Adventure|Children|Fantasy
2,fantasy,3.4318181818181817,Jumanji (1995),Adventure|Children|Fantasy
3,old,3.2596153846153846,Grumpier Old Men (1995),Comedy|Romance
3,moldy,3.2596153846153846,Grumpier Old Men (1995),Comedy|Romance
5,remake,3.0714285714285716,Father of the Bride Part II (1995),Comedy
5,pregnancy,3.0714285714285716,Father of the Bride Part II (1995),Comedy
7,remake,3.185185185185185,Sabrina (1995),Comedy|Romance
11,politics,3.6714285714285713,"American President, The (1995)",Comedy|Drama|Romance
11,president,3.6714285714285713,"American President, The (1995)",Comedy|Drama|Romance
14,politics,3.8333333333333335,Nixon (1995),Drama
14,president,3.8333333333333335,Nixon (1995),Drama
16,Mafia,3.926829268292683,Casino (1995),Crime|Drama
17,Jane Austen,3.7761194029850746,Sense and Sensibility (1995),Drama|Romance
21,Hollywood,3.49438202247191,Get Shorty (1995),Comedy|Crime|Thriller
22,serial killer,3.2222222222222223,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
25,alcoholism,3.625,Leaving Las Vegas (1995),Drama|Romance
26,Shakespeare,3.5,Othello (1995),Drama
28,Jane Austen,4.2272727272727275,Persuasion (1995),Drama|Romance
28,In Netflix queue,4.2272727272727275,Persuasion (1995),Drama|Romance
29,kidnapping,4.0131578947368425,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
31,teacher,3.1842105263157894,Dangerous Minds (1995),Drama
31,high school,3.1842105263157894,Dangerous Minds (1995),Drama
32,twist ending,3.983050847457627,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,remake,3.983050847457627,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,post-apocalyptic,3.983050847457627,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,Post apocalyptic,3.983050847457627,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,mindfuck,3.983050847457627,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,time travel,3.983050847457627,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,time travel,3.983050847457627,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,time travel,3.983050847457627,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,Brad Pitt,3.983050847457627,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,Bruce Willis,3.983050847457627,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
34,pigs,3.65234375,Babe (1995),Children|Drama
34,villain nonexistent or not needed for good story,3.65234375,Babe (1995),Children|Drama
34,Animal movie,3.65234375,Babe (1995),Children|Drama
36,death penalty,3.8358208955223883,Dead Man Walking (1995),Crime|Drama
36,Nun,3.8358208955223883,Dead Man Walking (1995),Crime|Drama
38,twins,2.125,It Takes Two (1995),Children|Comedy
39,chick flick,3.293269230769231,Clueless (1995),Comedy|Romance
39,funny,3.293269230769231,Clueless (1995),Comedy|Romance
39,Paul Rudd,3.293269230769231,Clueless (1995),Comedy|Romance
39,seen more than once,3.293269230769231,Clueless (1995),Comedy|Romance
39,quotable,3.293269230769231,Clueless (1995),Comedy|Romance
39,Jane Austen,3.293269230769231,Clueless (1995),Comedy|Romance
39,Emma,3.293269230769231,Clueless (1995),Comedy|Romance
40,South Africa,4.25,"Cry, the Beloved Country (1995)",Drama
40,In Netflix queue,4.25,"Cry, the Beloved Country (1995)",Drama
41,Shakespeare,3.7,Richard III (1995),Drama|War
43,England,3.1875,Restoration (1995),Drama
45,Journalism,3.3125,To Die For (1995),Comedy|Drama|Thriller
46,wedding,3.066666666666667,How to Make an American Quilt (1995),Drama|Romance
47,twist ending,3.9753694581280787,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
47,mystery,3.9753694581280787,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
47,serial killer,3.9753694581280787,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
50,heist,4.237745098039215,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
50,twist ending,4.237745098039215,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
50,tricky,4.237745098039215,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
50,thriller,4.237745098039215,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
50,suspense,4.237745098039215,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
50,mindfuck,4.237745098039215,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
52,adoption,3.4642857142857144,Mighty Aphrodite (1995),Comedy|Drama|Romance
52,prostitution,3.4642857142857144,Mighty Aphrodite (1995),Comedy|Drama|Romance
58,writing,4.027027027027027,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
62,music,3.70625,Mr. Holland's Opus (1995),Drama
92,Jekyll and Hyde,2.625,Mary Reilly (1996),Drama|Horror|Thriller
96,theater,3.5,In the Bleak Midwinter (1995),Comedy|Drama
101,crime,3.782608695652174,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
101,off-beat comedy,3.782608695652174,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
101,quirky,3.782608695652174,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
104,Adam Sandler,3.4393939393939394,Happy Gilmore (1996),Comedy
104,golf,3.4393939393939394,Happy Gilmore (1996),Comedy
104,test tag,3.4393939393939394,Happy Gilmore (1996),Comedy
107,muppets,3.326923076923077,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
110,Scotland,4.031645569620253,Braveheart (1995),Action|Drama|War
110,sword fight,4.031645569620253,Braveheart (1995),Action|Drama|War
110,revenge,4.031645569620253,Braveheart (1995),Action|Drama|War
110,Oscar (Best Cinematography),4.031645569620253,Braveheart (1995),Action|Drama|War
110,mel gibson,4.031645569620253,Braveheart (1995),Action|Drama|War
110,Medieval,4.031645569620253,Braveheart (1995),Action|Drama|War
110,inspirational,4.031645569620253,Braveheart (1995),Action|Drama|War
110,historical,4.031645569620253,Braveheart (1995),Action|Drama|War
110,epic,4.031645569620253,Braveheart (1995),Action|Drama|War
110,beautiful scenery,4.031645569620253,Braveheart (1995),Action|Drama|War
111,assassination,4.105769230769231,Taxi Driver (1976),Crime|Drama|Thriller
116,Holocaust,3.9,Anne Frank Remembered (1995),Documentary
122,dating,2.65625,Boomerang (1992),Comedy|Romance
140,journalism,3.5,Up Close and Personal (1996),Drama|Romance
147,Mark Wahlberg,3.466666666666667,"Basketball Diaries, The (1995)",Drama
